Image Dimensions (px),Samples per Pixel,Time taken (ms),Spheres
400 * 400, 4,1691,9
400 * 400, 4,1682,9
400 * 400, 4,1628,9
400 * 400, 4,1690,9
400 * 400, 4,1619,12
400 * 400, 4,1634,12
400 * 400, 4,1648,12
400 * 400, 4,1676,12
400 * 400, 4,1994,15
400 * 400, 4,2016,15
400 * 400, 4,2044,15
400 * 400, 4,2045,15

400 * 400, 16,7570,9
400 * 400, 16,7724,9
400 * 400, 16,7707,9
400 * 400, 16,7824,9
400 * 400, 16,7363,12
400 * 400, 16,7393,12
400 * 400, 16,7440,12
400 * 400, 16,7466,12
400 * 400, 16,8932,15
400 * 400, 16,8962,15
400 * 400, 16,8611,15
400 * 400, 16,9002,15

